subject,completed,rt,acc,reward,instructions,block,trialinblock,overalltrial
35,1,0.952885764951126,0,high,caution,1,1,1
35,1,0.657708472724739,1,high,caution,1,2,2
35,1,0.9532799233179,1,high,caution,1,3,3
35,1,0.63774246819734,1,high,caution,1,4,4
35,1,1.17971193694106,1,high,caution,1,5,5
35,1,,,high,caution,1,6,6
35,1,0.826036934659568,1,high,caution,1,7,7
35,1,0.919515870094585,1,high,caution,1,8,8
35,1,0.0718409278895706,1,high,caution,1,9,9
35,1,1.29481849695806,1,high,caution,1,10,10
35,1,2.2078214304599,1,high,caution,1,11,11
35,1,0.896591835268031,0,high,caution,1,12,12
35,1,,,high,caution,1,13,13
35,1,0.121173377463128,1,high,caution,1,14,14
35,1,3.62376264485065,1,high,caution,1,15,15
35,1,2.12400689444223,0,high,caution,1,16,16
35,1,0.904272708870055,1,high,caution,1,17,17
35,1,2.41217020622614,1,high,caution,1,18,18
35,1,0.732355396543409,1,high,caution,1,19,19
35,1,0.699520599771376,1,high,caution,1,20,20
35,1,1.97130491598407,1,low,caution,1,21,21
35,1,1.02546595630108,1,low,caution,1,22,22
35,1,2.01163247079236,1,low,caution,1,23,23
35,1,0.746090641142781,1,low,caution,1,24,24
35,1,0.456617558789439,0,low,caution,1,25,25
35,1,1.1851810209511,1,low,caution,1,26,26
35,1,0.944942388134963,0,low,caution,1,27,27
35,1,0.763003763209557,1,low,caution,1,28,28
35,1,2.10438776414432,1,low,caution,1,29,29
35,1,1.59221344075743,0,low,caution,1,30,30
35,1,0.829748380774676,0,low,caution,1,31,31
35,1,0.498077045366823,1,low,caution,1,32,32
35,1,0.857792893891525,1,low,caution,1,33,33
35,1,1.71155367858296,0,low,caution,1,34,34
35,1,0.930771108175025,1,low,caution,1,35,35
35,1,0.811461059372169,1,low,caution,1,36,36
35,1,2.37340650490787,0,low,caution,1,37,37
35,1,0.126626840187237,0,low,caution,1,38,38
35,1,1.6066912161127,0,low,caution,1,39,39
35,1,3.5803099442447,0,low,caution,1,40,40
35,1,1.83049595753934,1,high,speed,2,1,41
35,1,0.515366721453064,1,high,speed,2,2,42
35,1,0.67387556254083,1,high,speed,2,3,43
35,1,0.528640441297855,0,high,speed,2,4,44
35,1,1.00030242525132,0,high,speed,2,5,45
35,1,0.707114638479876,1,high,speed,2,6,46
35,1,1.29245616768477,1,high,speed,2,7,47
35,1,0.618175107530211,0,high,speed,2,8,48
35,1,1.43439038839472,0,high,speed,2,9,49
35,1,0.560685366345356,0,high,speed,2,10,50
35,1,0.435786928440986,0,high,speed,2,11,51
35,1,0.627531275908604,1,high,speed,2,12,52
35,1,0.457302992570953,1,high,speed,2,13,53
35,1,0.52592722880512,1,high,speed,2,14,54
35,1,0.387558621157943,0,high,speed,2,15,55
35,1,0.817615522407482,1,high,speed,2,16,56
35,1,0.42061693470656,1,high,speed,2,17,57
35,1,1.13381362951096,1,high,speed,2,18,58
35,1,0.811825571114182,0,high,speed,2,19,59
35,1,0.68639670872787,1,high,speed,2,20,60
35,1,0.665342299701136,1,low,speed,2,21,61
35,1,0.596580157233486,0,low,speed,2,22,62
35,1,3.40353012387641,0,low,speed,2,23,63
35,1,0.628365376260303,0,low,speed,2,24,64
35,1,0.561450447950595,1,low,speed,2,25,65
35,1,0.789247900784597,0,low,speed,2,26,66
35,1,0.700273888246995,0,low,speed,2,27,67
35,1,0.495894089113526,1,low,speed,2,28,68
35,1,0.875662598717165,1,low,speed,2,29,69
35,1,0.951789588991634,0,low,speed,2,30,70
35,1,1.1710925228691,1,low,speed,2,31,71
35,1,0.703840276638304,1,low,speed,2,32,72
35,1,0.536663825464305,0,low,speed,2,33,73
35,1,,,low,speed,2,34,74
35,1,0.757805620921624,0,low,speed,2,35,75
35,1,0.579077780380401,0,low,speed,2,36,76
35,1,1.10109176935204,0,low,speed,2,37,77
35,1,0.546577954180453,0,low,speed,2,38,78
35,1,0.633407889086806,0,low,speed,2,39,79
35,1,0.945603147319661,0,low,speed,2,40,80
